ssn,smoker,relationship,job,blood_group,race,sex
001-39-8129,0,nop,Freight forwarder,A+,White,0
001-47-0925,0,married,Ecologist,O-,Black,0
002-70-6472,1,divorced,Records manager,AB+,White,0
002-93-3306,0,divorced,Writer,O+,White,0
003-11-9972,1,nop,"Merchandiser, retail",B+,Hawaiian,0
003-33-5602,0,married,Printmaker,B+,Asian,0
004-06-2983,0,separated,Town planner,AB+,White,1
005-54-8884,1,separated,Public librarian,O-,White,0
006-08-2528,1,single,Games developer,O+,White,1
006-09-1145,1,separated,Visual merchandiser,B-,Asian,0
006-23-8172,0,married,Chartered legal executive (England and Wales),AB-,Asian,1
007-61-0064,0,separated,"Designer, industrial/product",O-,Black,0
007-96-9254,0,divorced,Sub,AB+,Asian,0
008-59-8749,0,nop,Ergonomist,A+,White,0
008-66-3414,1,separated,"Scientist, water quality",B-,White,0
008-91-0537,1,divorced,Commercial horticulturist,AB-,White,1
008-95-3082,1,married,Environmental consultant,O+,Black,1
009-53-9572,0,married,Arts development officer,O+,White,1
009-55-5124,0,single,Medical sales representative,B-,White,1
010-14-5259,0,married,"Civil engineer, consulting",AB-,White,0
010-52-3502,1,married,Theatre director,B+,Black,0
010-59-2543,0,divorced,Clinical molecular geneticist,A+,White,0
010-84-9705,1,nop,Hotel manager,O+,Black,0
010-90-5545,1,separated,"Administrator, education",B-,Black,0
011-04-6573,0,divorced,Chartered accountant,B+,Black,1
011-09-2373,0,married,Management consultant,O+,Black,1
011-10-5459,1,single,Chief Executive Officer,AB-,Black,1
011-52-0614,0,single,Water engineer,A+,Black,0
011-55-1934,1,divorced,"Psychologist, forensic",O-,Black,1
011-88-4880,1,married,Records manager,A-,Black,1
011-96-6827,0,single,"Engineer, water",B-,White,0
012-01-7909,1,divorced,Neurosurgeon,AB+,White,0
012-28-5600,0,widowed,Meteorologist,A+,Black,1
014-20-9180,1,married,"Scientist, research (medical)",B+,Asian,0
014-24-9153,0,married,Clothing/textile technologist,B+,Asian,0
014-48-6382,1,nop,Housing manager/officer,A+,Indian,0
014-53-7235,0,single,Neurosurgeon,A+,White,1
014-80-8177,0,single,Graphic designer,O-,White,0
015-42-8074,0,single,Cabin crew,AB-,Black,1
015-45-0205,1,separated,Tax adviser,A+,Asian,0
015-61-3081,1,single,Public librarian,A-,Indian,0
016-29-3604,0,divorced,Meteorologist,B-,White,1
016-41-5276,1,divorced,"Designer, graphic",A-,Black,1
016-41-5723,0,divorced,"Engineer, production",O-,Indian,1
016-51-8777,0,single,Interpreter,O+,White,0
016-66-1380,1,single,Pensions consultant,AB-,White,1
