	leukocyty	ssn	name	smoker	hemoglobin	trombocyty	indicator	alt	relationship	weight	ast	alp	hematokrit	hbver	etytr	er-cv	erytrocyty
0	5.90289	513-95-7625	Andrew Jacobs	no	7.54279	5.83096	1.00000	17.60670	widowed	8.09544	42.92870	60.77098	6.50802	5.54259	6.57020	47.78400	5.46395
1	5.56403	025-71-2115	Ian Harrison	Y	7.87747		1.00000	17.78037	single	73.58725	50.25507	47.14780	3.49169	3.52227	4.82276	55.62479	5.37924
2	6.24057	824-63-0108	Matthew Williams	no	4.72650	7.83234	1.00000	25.25152	single	129.45079	25.15943	48.53570	8.65913	8.25976	5.64422	48.44629	6.52365
3	5.48374	157-32-2908	Charles Chavez	no	5.43079	5.36911	1.00000	18.32802	divoced	18.61698	45.02094	73.77687	9.30190	6.26535	6.23014	50.48872	4.33766
4	6.04784	545-96-1267	Allen Chung MD	yes	8.85943	6.76682	1.00000	11.03841	divoced	78.83355	59.06392	17.65112	4.47835	2.28488	7.83874	38.74892	5.17704
5	6.28252	650-34-4074	Ryan Ross	yes	4.75426	5.63045	1.00000	6.64453	single	13.81725	57.88057	53.22502	5.06428	6.65377	5.81242	30.40564	3.87343
6	7.21939	056-12-3355	Michael Smith Jr.	no	7.58550	4.71240	1.00000	14.50400	single	81.46513	50.44811	61.40911	6.70752	7.41615	5.70049	48.26899	4.54016
7	5.76548	122-89-9380	Carrie Leon	no	6.64563	4.79461	1.00000	20.12293	nop	75.56777	37.59277	84.84243	4.28566	5.72836	6.34528	50.74082	4.39400
8	7.58431	694-07-9912	Timothy Johnson	no	7.51638	5.83575	1.00000	16.14867	nop	102.10316	48.89961	62.13768	7.38074	6.56424	5.30224	45.32943	3.73263
9	8.26445	142-19-4122	Diamond Dixon	no	7.37812	5.62982	1.00000	17.73287	married	83.97892	37.78143	58.64629	3.90996	5.55998	5.56007	51.13681	4.89780
10	5.12591	870-32-2803	Brian Wood	yes	6.79229	5.03016	1.00000	20.81594	separated	30.93059	32.07351	91.29461	7.48136	7.09812	5.45471	46.94973	5.53556
11	6.97312	221-11-1165	Michelle Young	no	7.20204	3.77421	1.00000	11.12019	widowed	76.13418	34.35131	71.51402	3.34524	3.78972	5.25729	56.68834	4.29912
12	5.98462	859-70-6818	Michael Berg	yes	3.61999	3.99423	0.00000	15.92461	single	85.24416	45.37739	17.36012	8.01600	7.41026	5.53343	40.95043	5.72381
13	6.71435	863-23-9380	Colleen Garcia	no	7.03379	5.72750	1.00000	8.49846	married	20.60603	62.80456	74.77780	6.05053	4.22127	4.77012	40.85026	
14	6.75460	303-96-9342	Joseph Baldwin	no	5.55256	6.30128	1.00000	15.79161	separated	11.47486	31.44855	83.46139	6.96669	4.78380	4.78939	33.64598	3.70596
15	6.01286	588-89-9334	Yolanda Weber	yes	7.13461	6.20252	1.00000	12.44055	divoced	17.64287	37.70877	76.85981	4.57964	5.29470	8.79202	48.24312	4.96976
16	5.67987	779-56-1025	Sylvia Kim	no	6.94598	7.38261	1.00000	17.33238	nop	67.21692	59.35322	81.15086	5.66452	8.09145	4.90951	52.86101	5.58843
17	7.57425	168-14-9182	Jason Bowers	yes	10.98221	6.70458	1.00000	15.01366	widowed	43.71922	59.48646	46.38230	4.73841	6.09943	5.34875	44.51645	6.11172
18	8.25823	415-08-1041	Megan Knight	Y	8.02995	5.34857	1.00000	18.32711	widowed	95.57198	53.82528	41.98340	7.77188	6.25613	5.43740	18.02746	5.64971
19	5.32382	098-78-5196	Cody Andrade	no	6.97100	7.13454	0.00000	16.26213	married	30.12741	63.56752	81.63018	5.76589	6.83355	5.99988	76.20504	4.39481
20	6.03881	049-96-8677	Steven Davis	yes	7.34335	5.15348	1.00000	18.72388	single	49.98183	60.93085	69.79126	6.81402	7.05377	5.40207	75.93245	6.01379
21	5.29028	870-08-9443	Aaron Blake	yes	7.32788	3.87192	1.00000	18.53426	married	85.43844	40.91148	69.06268	4.97762	8.23530	5.53542	31.40262	3.55263
22	7.55096	758-06-7912	Kayla Mayo	Y	6.21988	5.90484	0.00000	13.45792	nop	25.40556	50.48650	88.35850	7.42291	4.79811	5.73330	50.36041	4.34012
23	5.60586	083-50-1660	Shannon Mccormick	N	7.19529	5.42219	1.00000	12.02258	separated	75.20806	32.21883	75.51757	4.82780	5.49111	6.97376	45.59937	4.51297
24	4.07250	452-28-5150	Manuel Silva	yes	8.98649	5.36292	1.00000	21.04491	married	124.66470	71.47138	12.52228	5.41342	3.74563	6.49178	53.79266	6.13531
25	5.67973	743-82-2165	Christopher Parker	no	6.98082	5.98153	1.00000	12.00215	married	110.41260	50.94286	82.26811	6.06069	4.71813	5.01550	68.00991	4.12312
26	4.83968	255-61-4167	Tina Lee	no	7.44377	5.95297	1.00000	15.21180	single	81.39606	58.56898	56.42949	6.76012	8.16328	7.25431	62.30671	5.29686
27	3.11015	358-31-5717	Brandon Cline	no	6.92402	4.34370	1.00000	18.78916	widowed	155.70087	62.72372	84.74098	2.92971	4.89244	5.39133	47.30017	5.00012
28	5.33672	757-38-8208	James Tucker	no	3.95266	5.10394	0.00000	9.69699	single	125.97689	69.75541	30.88765	8.36199	7.11289	4.77526	30.58340	3.70600
29	4.34487	423-40-5590	Kevin Francis	Y	7.68953	6.09691	1.00000	12.00575	widowed	63.23080	54.50551	58.06786	6.38638	7.73102	8.27967	46.06883	3.50197
30	6.14679	102-02-6900	Jeremy Evans	Y	7.06956	5.36874	1.00000	11.87807	separated	69.41270	16.73004	73.56075	4.70867	3.69940	6.13725	62.69278	4.17903
31	6.44932	243-95-2748	Cheyenne Schroeder	no	8.52022	6.57631	1.00000	16.14600	nop	63.71222	60.28696	28.88675	5.67656	7.65199	6.25745	31.90144	4.72469
32	4.86127	220-81-8533	Zachary English	yes	11.42820	5.62131	1.00000	26.19938	nop	43.99167	42.86679	71.59995	5.47988	1.77565	8.00698	40.16632	7.31124
33	7.16098	743-82-2165	Christopher Parker	Y	6.58212	5.92869	0.00000	9.41544	separated	112.44794	46.96746	81.12468	4.61649	5.38297	5.61848	45.41420	2.92287
34	5.69628	430-30-7090	Rachel Allen	no	9.45984	4.68308	1.00000	12.18672	single	93.85403	42.85187	11.84161	6.50423	6.28477		29.72467	5.09572
35	6.82270	435-96-3974	Maria Singleton	Y	5.71536	6.91868	1.00000	15.76963	nop	93.75783	34.46733	87.80092	7.18352	8.32420	5.23245	46.25167	3.48471
36	5.29221	165-93-6803	Cheryl Ramirez	Y	8.18017	5.49019	1.00000	20.01217	divoced	93.39783	40.02100	41.50476	4.01300	3.77570	6.45171	51.45932	5.23308
37	5.85484	107-92-7240	Gregory Ellis	Y	8.58337	7.29037	1.00000	24.95950	married	23.24127	79.04344	18.81914	8.27319	5.64542	6.41173	26.82164	6.20039
38	7.17604	139-98-1720	Daniel Thompson	no	5.97560	5.96394	0.00000	11.85534	nop	146.30059	52.72387	83.95813	8.05519	3.65317	6.90929	38.41879	4.34149
39	6.67123	153-06-1225	Chris Grant	Y	7.86761	6.31858	1.00000	17.86455	married	92.50088	37.44955	49.99500	4.59531	4.57808	5.14019	45.45980	5.51347
