ssn,leukocyty,hemoglobin,trombocyty,indicator,alt,ast,hematokrit,hbver,etytr,er-cv,erytrocyty
001-39-8129,3.83682,9.56763,6.2467,0.0,15.54692,61.69072,5.86614,3.88614,4.44669,58.65303,4.74667
001-47-0925,5.25729,5.94908,5.65149,0.0,16.6938,44.52169,7.05085,5.974547345739472,5.98732,22.22383,5.85584
002-70-6472,5.51719,6.775087079790713,4.71822,0.0,11.54368,55.89698,6.58267,5.87481,5.79185,57.45359,4.34386
002-93-3306,6.39455,5.11368,5.52612,0.0,21.08413,59.10079,8.30631,5.55491,6.37883,47.4376,4.22168
003-11-9972,5.31163,7.01253,4.58958,1.0,19.42177,50.74356,8.52457,6.22229,6.6201,47.00514,5.09523
003-33-5602,5.30656,5.32433,6.62593,1.0,12.62601,19.88176,7.82165,8.52185,6.41351,58.0097,5.43179
004-06-2983,4.66583,7.76125,5.2976,1.0,10.13221,42.66307,6.24031,7.6233,5.18328,61.75929,3.19429
005-54-8884,5.99752,7.77175,5.86722,1.0,16.3156,60.27132,5.8607,6.89072,5.79744,35.89347,4.69258
006-08-2528,5.06285,6.95254,6.38482,1.0,16.81321,25.16089,4.74618,4.76703,4.98827,22.59021,5.218
006-09-1145,6.16602,7.02278,5.16973,1.0,13.91923,49.1755,6.72639,7.72374,7.40616,49.7765,4.70839
006-23-8172,5.85244,7.16414,4.39961,1.0,10.66416,45.57005,7.48051,7.48903,6.57436,41.09651,5.16927
007-61-0064,3.12905,7.18207,6.02014,0.0,17.48857,40.29753,4.33835,5.85999,7.62685,64.36231,5.13401
007-96-9254,6.60884,6.64951,4.8167,1.0,16.04224,57.4519,7.07258,7.29265,5.90775,52.49037,5.60497
008-59-8749,6.39375,4.93926,4.82978,0.0,17.04663,50.32743,6.52994,6.28211,4.05741,25.91725,3.13821
008-66-3414,6.99481,5.53188,7.37459,0.0,15.5189,33.50284,5.71859,6.37033,5.26254,22.34363,3.96455
008-91-0537,5.57627,6.69956,6.00988,0.0,20.55745,58.92743,6.77836,4.59211,4.25356,43.53407,4.24521
008-95-3082,5.22205,6.34893,4.97295,1.0,17.40542,69.99707,5.82905,4.98695,6.46519,50.1093,4.12374
009-53-9572,5.53993,7.08912,4.0867,1.0,20.27614,40.88086,6.39749,6.92518,5.4854,47.85227,2.35004
009-55-5124,5.24649,6.02463,5.11836,1.0,17.27452,62.64476,6.55485,8.23089,7.02947,52.82672,4.68193
010-14-5259,7.74604,9.2088,6.08603,1.0,23.08419,57.55369,4.10576,3.63945,6.18717,73.72034,6.09522
010-52-3502,5.80175,5.33206,5.31698,1.0,14.55978,42.02343,8.48619,7.00059,5.78231,26.87677,4.38833
010-59-2543,6.19954,7.14122,6.1428,1.0,11.06785,42.57185,5.7109,8.32201,5.59091,58.84856,3.00184
010-84-9705,6.69011,4.13169,5.08279,0.0,19.72887,58.91963,6.79862,6.98864,6.61165,31.57231,6.0269
010-90-5545,6.5789,7.95865,5.97259,1.0,7.94345,44.0718,5.69635,4.65678,7.72327,55.52789,5.47365
011-04-6573,6.6757,7.17637,5.00209,1.0,14.35889,43.60837,8.13186,6.69133,5.90239,51.74591,5.34902
011-09-2373,6.05405,8.99259,6.2173,1.0,11.79014,64.0659,6.45264,6.26464,5.42963,52.00171,3.54884
011-10-5459,5.85907,3.55595,6.01126,0.0,18.68145,45.20968,6.72639,6.52657,5.15015,54.78138,5.7329
011-52-0614,4.20015,7.11659,4.9233,1.0,18.01015,32.80552,7.16576,7.31865,7.1692,34.06642,4.751365567178817
011-55-1934,6.17509,6.26178,7.88635,1.0,24.11037,60.20951,4.7511,6.06367,6.40912,44.64312,4.30246
011-88-4880,5.68289,6.43832,6.72443,1.0,10.47654,54.85645,4.06048,4.68286,6.47456,48.24011,4.54988
011-96-6827,5.51879,5.93248,6.69316,1.0,12.79177,56.30795,5.65963,8.71542,4.80889,54.7497,5.16992
012-01-7909,6.06707,8.92181,5.10426,0.0,16.73021,35.85671,7.20911,4.49049,5.83755,48.37472,6.11981
012-28-5600,6.39272,5.76086,5.70949,1.0,15.100138371484631,23.48277,9.09497,6.70142,7.79002,55.56734,8.00767
014-20-9180,7.65253,5.32308,5.53472,1.0,14.51072,58.82777,9.20629,7.49115,7.61765,43.23102,6.05286
014-24-9153,4.98909,7.25314,6.25892,1.0,14.68978,65.90609,5.9682,5.06807,5.4314,55.32774,5.11567
014-48-6382,7.27729,6.87531,7.4233,1.0,16.79453,56.35367,4.62973,4.80625,5.96526,24.40482,4.99827
014-53-7235,5.44265,6.18158,7.82617,1.0,11.43543,32.80171,6.56096,8.15962,5.12303,55.57073,5.63238
014-80-8177,6.05159,7.13368,5.34778,1.0,10.96903,40.67765,6.98823,7.89283,6.2337,60.42693,4.48127
015-42-8074,6.9605,5.81749,6.06093,1.0,13.14302,63.8232,7.6267,8.03108,4.08092,43.14843,3.38154
015-45-0205,8.04324,7.47861,4.8055,0.0,23.46368,46.84221,6.20671,5.0589,5.69892,43.47134,5.63002
015-61-3081,4.93284,6.15628,4.26768,1.0,8.88204,32.6459,7.67112,7.0312,6.28244,31.22227,3.11733
016-29-3604,5.26639,6.75908,6.61199,1.0,13.67863,65.1852,3.28669,5.39398,5.25475,48.3806,4.49151
016-41-5276,6.04879,6.77749,5.60534,1.0,25.68656,29.73185,7.55596,7.51564,5.07857,39.8099,5.03971
016-41-5723,6.4728,9.36249,6.45045,1.0,9.30032,55.74071,6.79598,6.69001,5.65002,29.97426,4.84746
016-51-8777,7.74902,5.65749,6.44138,1.0,10.77591,46.0981,10.46357,5.40065,5.41429,44.4874,5.61446
016-66-1380,6.69154,6.9063,5.94634,1.0,12.21939,32.72909,6.3562,7.6279,5.38549,52.37758,4.78948
016-76-5029,6.7556,6.59588,6.43926,1.0,11.44476,42.43562,4.97074,5.15807,6.84523,68.27126,4.12411
017-35-3199,5.10165,6.08618,5.87792,1.0,15.39963,45.01736,7.74994,7.23198,6.64972,55.03087,6.16704
017-43-5074,8.04389,6.5671,6.87969,1.0,15.07795,49.13713,7.84893,6.69571,5.32862,38.6838,5.3831
017-93-9480,5.1494,4.70031,7.86473,1.0,18.04859,52.25621,7.08456,9.01024,7.11928,43.86851,5.68426
018-08-9350,6.64529,4.5786,6.10206,0.0,13.59882,55.7333,7.54588,6.83942,6.26434,42.87039,3.52738
018-40-5252,5.65934,7.26658,6.78215,1.0,10.4723,59.4597,7.15489,7.40782,5.63066,38.7777,5.74424
018-97-8963,5.57914,9.23669,6.50712,1.0,10.16221,62.68048,5.99641,7.09893,5.22196,54.51138,4.15285
019-09-2795,5.54667,5.23757,7.95299,0.0,6.11926,40.14182,8.33072,5.06743,7.43809,57.49321,3.8052
019-35-2179,8.35384,7.07041,5.2377,1.0,13.38089,73.23748,8.08111,6.55975,6.25928,30.76759,3.31622
019-44-6897,4.33603,4.35546,6.44846,0.0,10.20297,58.68766,8.60433,7.38443,6.23773,75.48439,3.43143
019-63-8070,7.24985,7.94099,7.59373,1.0,19.59541,48.00485,7.27522,6.69963,6.96266,45.94275,6.50351
020-05-5103,6.7599,9.7778,5.02676,1.0,17.0803,29.05407,4.51197,3.44413,5.80023,70.19152,6.82882
020-81-3931,4.98945,9.13889,5.71732,0.0,17.61945,84.03462,4.46324,3.93066,6.99502,46.91647,4.55033
021-48-8003,4.62845,7.30947,6.26747,1.0,7.74505,55.67696,7.68632,6.34605,5.59465,57.68276,4.84121
021-58-9713,5.74517,10.12838,6.64447,1.0,13.84217,34.42406,6.29958,6.17668,6.2186,43.51317,5.65853
021-66-3513,6.10174,6.9868,6.40977,1.0,11.99802,43.43199,4.42341,5.19235,3.45366,26.11333,4.89829
021-92-8561,4.40528,8.20224,4.84499,0.0,14.46242,39.1046,5.36798,7.48715,5.99603,59.47336,3.47341
022-04-2549,7.32684,9.36458,5.05285,1.0,16.86296,49.47613,3.52499,3.43802,6.41071,50.03767,5.65258
022-19-1717,7.07746,5.86139,6.4285,0.0,18.74832,51.31914,5.9368,7.0445,6.72575,57.34241,4.94048
022-22-5519,5.02246,6.46405,4.55402,1.0,15.34536,49.31475,5.21915,9.60923,5.80048,45.45915,4.26943
022-53-0024,5.43954,7.59063,7.76585,1.0,20.63509,62.32004,5.17216,7.5152,4.90899,54.74865,5.34192
022-80-3970,6.38269,5.19564,5.852,1.0,19.42292,63.2668,8.03132,8.33394,6.88536,58.40175,5.62033
023-29-0994,7.04295,9.16506,3.63792,0.0,9.45988,55.68945,4.02577,5.89432,5.60699,51.84356,5.55705
023-53-4416,5.91142,6.74361,7.42973,1.0,7.83045,61.07462,5.91524,5.34197,4.72518,60.71233,4.06668
023-54-3522,4.92554,7.2652,5.01994,0.0,11.0804,62.43489,7.51324,4.76648,5.09285,60.6776,5.09308
024-38-4189,7.5515,3.24952,3.9602,0.0,16.72082,35.40013,7.04718,3.74814,5.77833,46.96776,3.07923
024-91-2665,6.51731,7.95668,6.4683,1.0,16.88588,53.94766,8.12486,5.60515,5.41225,38.63441,4.42048
025-31-3452,4.83784,3.30619,6.93994,0.0,15.299,46.04085,6.86768,6.32664,7.63194,41.99005,5.25388
025-31-3473,4.3742,5.70022,4.29642,1.0,7.8209,63.52691,4.34385,6.88312,6.37259,53.54352,4.38833
025-60-7131,5.43568,7.63953,6.7652,1.0,17.39544,43.77344,3.45549,4.09373,5.24452,48.58838,4.87021
025-71-2115,5.56403,7.87747,5.982637220405494,1.0,17.78037,50.25507,3.49169,3.52227,4.82276,55.62479,5.37924
025-83-9432,5.54429,9.29074,6.06333,1.0,23.17449,21.47728,4.54571,3.70544,4.60654,57.87997,6.39716
