	job	address	blood_group	ssn	birthdate	residence	race	name	sex
0	Quarry manager	"6269 Kelsey Cove
Jessicahaven, KY 76299"	B+	818-49-6074	1925-12-31	"30070 Anderson Branch Suite 371
Hoffmanberg, KS 76220"	White	Kimberly Frazier	F
1	Financial risk analyst	"72241 Luna Divide Suite 877
Melindachester, IL 87270"	B+	617-52-9894	03/21/1912, 00:00:00	"61551 Williams Shoal Apt. 506
Lunaborough, VA 95167"	Black	Timothy Gutierrez MD	M
2	Waste management officer	"6554 Nicole Lodge
North Tanner, PA 59584"	B+	690-88-6942	1960-11-19	"77305 Palmer Valleys Suite 424
Jennifertown, DE 99304"	Black	Elaine Elliott	F
3	Publishing rights manager	"847 Taylor Court Apt. 547
Gutierrezfort, SD 10352"	O+	767-13-0171	1978/11/14	"62021 Schwartz Roads
Jaimeville, SD 64413"	Black	Richard Anderson	M
4	Medical sales representative	"83815 Richard Causeway Suite 275
Lemouth, WV 86329"	B+	412-57-1910	03/14/1995, 00:00:00	"Unit 4872 Box 1158
DPO AA 51410"	white	Jennifer Bass	F
5	Engineer, water	"743 Barrett Square
Joycemouth, MT 91472"	A+	504-96-7982	07/25/1940, 00:00:00	"0727 Jason Manor
North Daniel, ID 86192"	Hawaiian	Richard Miller	M
6	Lobbyist	"7181 Thompson Islands
Jenniferchester, UT 24929"	AB-	687-75-8712	16 Jan 1954	"263 Autumn Valleys Apt. 866
Tracyfurt, NC 53979"	Asian	Kevin Cameron	M
7	Theatre stage manager	"86454 Owen Prairie
Brittanyburgh, ME 24738"	B+	894-73-6256	1985-09-08	"40209 Morris Knoll Suite 118
Smithhaven, OK 71318"	black	Todd Olson	M
8	Building control surveyor	"95081 Neal Estate Suite 946
Karenville, NY 33491"	O+	820-23-7751	14 Feb 1959	"715 Derrick Light Apt. 186
Morganburgh, IN 67154"	White	Anthony Walker	M
9	Special educational needs teacher	"6928 Ashley Crest Apt. 360
Port Brianport, NC 66867"	AB+	229-64-9537	2003/09/17	"006 Leblanc Mission Apt. 830
South Nicholasburgh, RI 92011"	White	Samantha Dominguez	F
10	Environmental health practitioner	"589 Murphy Groves Apt. 312
Ninatown, RI 03350"	AB-	235-07-7985	1957-05-08	"PSC 0735, Box 8339
APO AP 84880"	White	Christopher Patel	M
11	Development worker, international aid	"Unit 9051 Box 7645
DPO AP 33771"	B+	510-01-6590	2000/01/09	"49328 Felicia Trail
Flemington, MN 43195"	Indian	Heather Parker	F
12	Sports administrator	"12821 Nicole Well
Brooksville, NM 42985"	AB+	294-69-1287	11/04/1942, 00:00:00	"866 Conway Views
Port Christopher, MS 98700"	White	Brittney Alexander	F
13	Operations geologist	"PSC 7943, Box 1903
APO AE 23063"	A-	027-39-8294	1955-12-21	"9024 Christopher Walks
Lake Dawnport, TN 68623"	Black	Amanda Hill	F
14	Arts administrator	"321 Johnston Islands Apt. 101
Monicaville, PA 05649"	A-	462-44-7127	1980/06/29	"4276 Ashley Square Apt. 063
South Jessicaberg, MS 57933"	White	Christy Castro	F
15	Ecologist	"04815 John Loop
South Christina, NC 15071"	A-	020-81-3931	1909/08/10	"Unit 9749 Box 0827
DPO AE 58189"	White	Megan Neal	F
