ssn,hbver,hematokrit,hemoglobin,relationship_1,relationship_2,relationship_3,relationship_4,relationship_5,relationship_6,race_1,race_2,race_3,race_4,race_5,indicator
128-16-9378,-0.5423865286427519,0.008266302255238603,0.25167069195395086,0,1,0,0,0,0,1,0,0,0,0,0.0
018-97-8963,0.7266156130356771,-0.24772160139314378,1.523023976411804,0,0,1,0,0,0,1,0,0,0,0,1.0
556-31-6142,-1.087965393037052,1.3702959853279686,-0.02771226081639267,0,0,1,0,0,0,0,1,0,0,0,1.0
031-81-9828,0.3748794603590602,0.05659003759325155,-1.0718967670251986,0,0,0,0,1,0,1,0,0,0,0,0.0
370-55-2861,0.33213107432814126,1.265548583923257,0.19472383455246672,0,0,0,1,0,0,1,0,0,0,0,1.0
309-93-5819,-0.9316633720181309,-1.174586894574574,0.7052040016880933,0,1,0,0,0,0,0,1,0,0,0,1.0
803-57-6889,-0.632864574500565,-0.16043418998796058,-0.2926744504576916,0,0,1,0,0,0,0,0,0,1,0,1.0
867-14-3422,-1.0833593320724613,0.947168644197565,-0.543154011834256,0,0,0,1,0,0,1,0,0,0,0,0.0
423-48-7663,-1.4116576211610004,-0.08922125411555752,-0.013427600985863031,0,1,0,0,0,0,1,0,0,0,0,0.0
866-99-5773,0.4798420153456907,0.8923875337430298,-1.5880747131577582,1,0,0,0,0,0,1,0,0,0,0,0.0
035-10-8705,1.423042974020316,0.33215068407054893,-0.48594113434931113,0,0,0,1,0,0,1,0,0,0,0,0.0
058-29-1114,0.40337622798408973,-0.03426460336659263,-0.7913260036496312,0,0,0,0,0,1,1,0,0,0,0,0.0
323-15-7193,-1.203323931127752,1.6986566446512361,-1.0803722906145559,0,0,1,0,0,0,0,1,0,0,0,0.0
843-13-1755,1.218978947240761,0.13737618880830457,0.23727467487918133,0,0,0,0,0,1,0,0,1,0,0,1.0
782-36-7404,2.26981423502895,-0.3160506609999162,-1.0002940589790528,0,0,0,1,0,0,1,0,0,0,0,1.0
784-19-2498,-0.719364070508346,-0.7058629619660484,0.7858390195447953,0,1,0,0,0,0,0,0,1,0,0,1.0
661-70-1006,-0.5018570736664038,-0.659413746200696,-0.7413327874995618,0,0,1,0,0,0,0,1,0,0,0,0.0
793-02-7963,-0.7122932493927597,-2.11058655236258,1.272798062091563,0,1,0,0,0,0,1,0,0,0,0,1.0
